jahrgangsstufe,fragenText,richtigeAntwort,falscheAntwort1,falscheAntwort2,falscheAntwort3,schwierigkeit,erstelltVon
7,Welche Wörter stecken hinter der Abkürzung HTTP?,Hypertext Transfer Protocol,Hypertext Transfer Pipeline,Hypertext Transmission Protocol,Helpertext Transfer Protocol,3,Josef
7,Welche der aufgeführten IP-Adressen ist valide?,205.13.0.4,256.13.0.4,205.13.0,265.13.0.4,5,Josef
7,Welcher HTML-Code stellt einen validen Link dar?,"<a href=""index.html"">Link</a>","<a link=""index.html"">Link</a>","<a url=""index.html"">Link</a>","<a src=""index.html"">Link</a>",5,Josef
7,"Wie nennt man Editoren für Hypertextdokumente, die eine Vorschau des HTML-Codes ermöglichen?",WYSIWYG-Editoren,WYSIWYW-Editoren,WVSIWYG-Editoren,WUSIWYG-Editoren,4,Josef
7,Welcher HTML-Tag existiert nicht?,<underline></underline>,<b></b>,<strong></strong>,<u></u>,4,Josef
7,Wie nennt man das Gesetz das regelt wie Firmen und öffentliche Einrichtungen mit personenbezogenen Daten umzugehen haben.,DSGVO,DGSVO,DSGUO,DSBVO,3,Josef
7,Mit einem Methodenaufruf ...,... gibt man einem Objekt Anweisungen. ,... ruft man die Programmierungumgebung auf.,... liest man die Liste aller Methoden aus.,... startet man die Sprachausgabe.,2,Josef
7,Was ist ein Struktogramm?,Eine grafische Darstellung eines Programmentwurfs.,Ein gut strukturiertes Computerprogramm.,Eine Software zum Zeitmanagement.,Eine grafische Programmiersprache.,1,Josef
7,"Die Verbindung von Knoten in einem Graphen nennt man ...",Kante,Seil,Glied,Line,1,Josef
7,"Wie nennt die Beziehung, wenn zwei Objekte der gleichen Klasse in Beziehung stehen?",rekursive Beziehung,repetetive Beziehung,rekursive Beziehung,relationale Beziehung,2,Josef
